aciklama,cilttipi,cilt_problemi,onerilen_urun
"Çenemde derin, ağrılı sivilceler var, inatçı çıkıyorlar.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli, soluk lekeler oluştu.",normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kışın yüzüm kuruyup çatlıyor, nemlendirici yetmiyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Burnumdaki siyah noktalar temizlenmiyor, sürekli doluyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda sabit kırmızı bölgeler var, bazen kaşınıyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik sivilceler çıkıyor, iz bırakıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hafif kahverengi leke izleri belirginleşti.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümü nemlendirdiğim halde kuruluk hissi geçmiyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumda biriken siyah noktalar gözle görülür durumda.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Sabun kullanınca yanaklarım tahriş olup kızarıyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde çıkan sivilceler iltihaplı ve şişkin oluyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde ince kahverengi lekeler belirdi.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kuruyan cildim dökülüyor ve hafif acıyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar temizlenince hemen geri geliyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda daima hafif kırmızımsı bir renk var.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde sürekli ufak beyaz sivilceler var.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde eski lekeler daha belirgin hale geldi.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kışın cildim kaşıntı ve kuruluk yapıyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"T bölgemde yağlanma var, gözeneklerim tıkalı.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzüm hemen kızarıyor, özellikle sabahları.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde kırmızı büyük sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde yeni kahverengi noktalar oluşmaya başladı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Nemlendirici sürmeme rağmen cildim hala pul pul.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumda geniş gözenekler ve siyah noktalar var.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarım hassas, hemen kızarıp tahriş oluyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde ağrılı kistik sivilceler var, iyileşmiyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık renkli küçük lekeler görüyorum.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildim kupkuru, ne sürsem fayda etmiyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Burnumda inatçı siyah noktalar var, sürekli doluyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda kırmızı bölgeler kaşınıyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde iltihaplı, kırmızı sivilceler çıkıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde güneş sonrası hafif kahverengi lekeler oluştu.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Cildim kuruduğu için yüzümde ince çizgiler ve pullanma başladı.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Burnumun üstünde derin siyah noktalar var, temizleyici işe yaramıyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarım ufak ufak kızarıyor, özellikle sıcak havalarda.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük, iltihaplı sivilceler çıkmaya başladı.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Alnımda yazdan kalma kahverengi lekeler belirginleşti.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kış geldiğinde cildim kupkuru oluyor ve kabuklanıyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Burnumda ve yanaklarımda siyah noktalar oluşuyor, sık sık temizlemem gerekiyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümü temizledikten sonra yanaklarım kızarıyor ve kaşınıyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde çıkan sivilceler kabarık ve ağrılı oluyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hafif soluk kahverengi lekeler ortaya çıktı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildim çok kuru, ne kadar nemlendirici sürsem de geçmiyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar geniş gözeneklerle birleşti.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzüme sürdüğüm tonik yanaklarımda kızarıklık yaptı.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde sürekli minik beyaz sivilceler oluşuyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde eski güneş lekeleri silik de olsa kaldı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildim kuruyunca kaşıntı yapıyor, bazen kanıyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar yüzümü yağlı gösteriyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarım hemen kırmızı oluyor, güneş kremi bile tahriş ediyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde çıkan sivilceler iz bırakıyor, morluk gibi kalıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık renkli minik lekeler çoğaldı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kışın yüzüm gerginleşiyor, pullanıyor ve çatlıyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumda siyah noktalar her temizlemeden sonra tekrar doluyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzüm hassas olduğu için rüzgarda bile kızarıyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde ağrılı sivilceler çıkıyor, yüzümü yıkamak bile acıtıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde ince kahverengi leke çizgileri fark ettim.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Nemlendirici sürsem bile cildim pul pul olmaya devam ediyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Burnumdaki siyah noktalar görünür halde, makyaj bile kapatmıyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümü temizledikten sonra bile yanaklarım kızarık kalıyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı ve şiş sivilceler çıkıyor, iyileşmeleri uzun sürüyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde soluk kahverengi lekeler yayıldı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildim kupkuru, dokunduğumda bile dökülüyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar sanki daha da derinleşiyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda küçük kırmızı benekler oluştu.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde tekrar eden sivilceler çıkıyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde minik lekeler birden çoğaldı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kış geldiğinde cildim pul pul oluyor ve çatlıyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumda inatçı siyah noktalar birikiyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzüme nemlendirici sürdüğümde bile yanaklarım kızarıyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde çıkan sivilceler bazen irin dolu oluyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık kahverengi leke izleri oluştu.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kuruyan cildim acı veriyor, kaşıyınca daha kötü oluyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Burnumdaki siyah noktalar çok belirgin, rahatsız ediyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda her zaman hafif kırmızımsı bir renk oluyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde çıkan sivilceler iz bırakıyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde lekeler giderek genişledi.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kışın cildim kaşıntılı ve kurumuş hissediyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"T bölgemde yağlanma artıyor, gözenekler doluyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Sabah uyandığımda yanaklarım kızarık oluyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemdeki sivilceler iyileşmeden yenileri çıkıyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık renkli minik lekeler çıktı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde kırışıklıklar oluştu, özellikle göz çevremde belirgin.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda elastikiyet kaybı hissediyorum, sarkma başladı.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumun kenarlarında geniş gözenekler ve siyah noktalar var.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde hiperpigmentasyon lekeleri çıktı, renk eşitsizliği arttı.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildim çok kuru, küçük kabuklanmalar oluşuyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Epilyasyon sonrası bacaklarımda batık kıllar çıktı, canım acıyor.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Çenemde şişlik ve ağrı yapan iltihaplı sivilceler var.,yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda gözenek tıkanıklığı oluştu, siyah noktalarla dolu.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda alerjik reaksiyon sonucu döküntüler başladı.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yüzümde kırmızı döküntüler çıktı, doktor egzama dedi.",hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok hassas, sabun bile tahriş ediyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumda siyah noktalar gitgide derinleşti.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda hipopigmentasyon lekeleri oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Göz çevremde kırışıklıklar ve ince çizgiler var.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Cildimde şiddetli kızarıklık ve yanma hissi oluşuyor.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda dermatit kaynaklı pullanma ve kaşıntı başladı.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde irili ufaklı sivilceler çıkıyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda kabuklanma ve döküntü var, kuruluk hissettiriyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Yüzümde alerjik reaksiyon sonucu şişlik oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok kuru, gerginlik ve pul pul dökülme yaşıyorum.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar makyajla bile kapanmıyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda kızarıklık ve hassasiyet kalıcı hale geldi.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, ağrılı sivilceler oluştu.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde kahverengi güneş lekeleri belirdi.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde elastikiyet kaybı başladı, yüzüm sarkıyor gibi.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki gözenekler geniş ve dolu görünüyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda küçük kabuklanmalar oluştu, kaşıntı yapıyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Çenemde kıl dönmesi nedeniyle batık kıllar çıktı.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde dermatit nedeniyle kırmızı döküntüler oluştu.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumda gözenek tıkanıklığı ve yağlanma başladı.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Cildimde hiperpigmentasyon nedeniyle koyu lekeler çıktı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı döküntüler başladı.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde iltihaplı, şiş sivilceler var.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumda sürekli biriken siyah noktalar rahatsız ediyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Cildimde hipopigmentasyonla renk açılması görüyorum.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde alerjik reaksiyon sonucu tahriş oluştu.,hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde ağrılı, kırmızı sivilceler çıktı.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık renkli güneş lekeleri fark ettim.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumda geniş gözenekler ve siyah noktalar var.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda elastikiyet kaybı hissediyorum.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Cildimde ince kırışıklıklar belirdi.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif tahriş hissediyorum.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda kırmızı kabuklanmalar oluştu.,hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde beyaz başlı sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumda gözenek tıkanıklığı arttı.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu lekeler oluştu.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda hafif döküntüler başladı.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde kistik şiş sivilceler oluştu.,yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar giderek derinleşti.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon lekeleri belirdi.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
