hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Saçkıran,"""Köpeğimin bacağında kırmızı ve iltihaplı görünen tüysüz bir deri parçası var. Onu rahatsız ediyor gibi görünüyor ve bulaşıcı olabileceğinden korkuyorum.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Egzama,"""Son zamanlarda bacaklarımda kaşıntılı, pullu lekeler fark ettim. Daha önce yoktular ve ciddi bir şey olabileceğinden endişeleniyorum.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Gül hastalığı,"""Yüzüm çok kolay sivilceleniyor, ama tipik akne gibi değil. Stresli veya sıcak olduğumda kötüleşen kırmızı, engebeli lekelerim var. Arkadaşlarım anlamıyor ve cildim konusunda gerçekten bilinçli hissediyorum.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Sedef hastalığı,"""Eklemlerimde bazen çatlayan ve kanayan kalın, kırmızı lekeler var. Bunlar ağrılı ve ellerimi ve dizlerimi hareket ettirmemi zorlaştırıyor.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Zona (Herpes Zoster),"""Genellikle aktif ve sağlıklıyım, ancak bitkin ve ateşli hissediyorum. Şimdi, bacağımda yayılmaya başlayan kırmızı, engebeli bir döküntü var. Daha önce gördüğüm hiçbir böcek ısırığına benzemiyor ve beni gerçekten endişelendiriyor.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
İmpetigo hastalığı,"""Koç, antrenmandan bacağımda kaşıntılı kabarcıklar oluştu. Küçük kırmızı şişlikler olarak başladılar ve şimdi irinle dolup kabuklanıyorlar. İmpetigo olabilir mi?""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Vitiligo,"""Hamileliğim sırasında karnımda birkaç beyaz leke fark ettim. Bunun hamilelik hormonlarıyla ilgili olup olmadığından veya bebeğimi herhangi bir şekilde etkileyip etkilemeyeceğinden endişeleniyorum. Bana bunun ne olduğunu ve yapmam gereken bir şey olup olmadığını söyleyebilir misiniz?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Uyuz,"Sarcoptes scabiei akarının neden olduğu bulaşıcı bir cilt rahatsızlığı olan uyuz, genellikle çeşitli semptomlarla ortaya çıkar. Özellikle geceleri görülen kaşıntı, zamanla yoğunlaşan bir belirtidir. Bulaşma, deri kıvrımlarında ve parmak aralarında döküntüye benzeyen yuva izlerine, küçük kabarcıklara veya kırmızı şişliklere yol açar. Yaygın bulaşma bölgeleri arasında bilekler, dirsekler, koltuk altları ve kasıklar bulunur. Etkilenen bölgelerin kaşınması ikincil enfeksiyonlara neden olabilir. Kişiler şiddetli kaşıntı nedeniyle uykusuzluk yaşayabilir. Uyuz teşhisi koymak ve akarların yakın temas yoluyla başkalarına bulaşmasını önlemek için derhal tıbbi yardım almak gerekir.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Kontakt Dermatit,"""Ellerim kuru ve çatlamış, bazı yerlerdeki deri soyuluyor. İş yerinde çok fazla kimyasal ve yağ kullanıyorum, bunun sebebi bu olabilir mi?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Zona (Herpes Zoster),"""Genellikle sağlıklıyım, ancak son zamanlarda kendimi bitkin hissediyorum. Şimdi boynumda yayılmaya başlayan kırmızı, kaşıntılı bir döküntü var. Beni özgüvensiz ve rahatsız hissettiriyor ve buna neyin sebep olduğunu bilmiyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Folikülit,"""Yeni bir jakuzi kullanıyorum ve şimdi kollarımda ve bacaklarımda kaşıntılı, kırmızı şişlikler var. Küçük sivilcelere benziyorlar ama bir arada kümelenmişler.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kontakt Dermatit,"""Koşudan sonra ayaklarım yanıyor ve kaşınıyor. Özellikle ayak parmaklarımın etrafında kırmızı ve şişler. Sanırım yeni koşu ayakkabılarım yüzünden, biraz sıkı hissettiriyorlar.""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Folikülit,"""Bebeğimin yüzünde sivilceye benzeyen küçük beyaz şişlikler var. Bazen kabuk bağlayıp cildinin kırmızı görünmesine neden oluyorlar.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Zona (Herpes Zoster),"""Birkaç gündür genel olarak kendimi iyi hissetmiyorum, ateş ve yorgunluk var. Şimdi alnımda gözümü hassaslaştıran ağrılı bir kızarıklık var. Gittikçe büyüyen bir kabarcık çizgisi gibi.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Akne,"Akne, papüller, püstüller, nodüller ve kistler gibi iltihaplı semptomlar sergileyerek çeşitli biçimlerde ortaya çıkar ve her biri farklı boyutlarda ve hassasiyet seviyelerindedir. Bunlara ek olarak, kızarıklık, şişlik ve yağlı cilt eşliğinde siyah noktalar ve beyaz noktalar gibi iltihaplı olmayan belirtiler ortaya çıkar. Durum genellikle özellikle şiddetli veya tedavi edilmediğinde yara izine yol açarak kişinin duygusal refahını etkiler. Aknenin semptom yelpazesi, görünür lezyonlar, cilt dokusu değişiklikleri ve psikolojik etkiler cilt tipi, hormonal dalgalanmalar ve yaşam tarzı seçimleri gibi faktörlerden kaynaklanır. Bir dermatologdan rehberlik almak, bu çeşitli belirtileri etkili bir şekilde yönetmek için özel tedavide yardımcı olur.",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Egzama,"Atopik dermatit olarak da bilinen egzama, cildin görünümünü ve dokusunu etkileyen çeşitli semptomlar gösterir. Yaygın belirtiler arasında, genellikle yoğun kaşıntıyla birlikte görülen kırmızı veya iltihaplı lekeler bulunur ve bu da kaşınmaya ve sonrasında cilt kalınlaşmasına yol açabilir. Bu bölgeler zamanla sızabilir, kabuklanabilir veya pullanabilir. Egzama genellikle rengi bozulabilen veya küçük, kabarık şişlikler geliştirebilen kuru, hassas cilde neden olur. Şiddetli vakalarda, ağrılı çatlaklara veya yarıklara yol açabilir. Ek olarak, egzama kaşıntı nedeniyle uyku bozukluklarına neden olabilir, günlük yaşamı etkileyebilir ve kalıcı yapısı nedeniyle potansiyel olarak duygusal sıkıntıya neden olabilir. Erken teşhis ve uygun tedavi, semptomları hafifletmeye ve alevlenmeleri önlemeye yardımcı olur.",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Kontakt Dermatit,"""Kollarım ve bacaklarım bu döküntüyle kaplı. Kaşınıyor ve engebeli ve bazı şişliklerden berrak sıvı sızıyor. Bütün gün bahçede çalıştım, dışarıda dokunduğum bir şey olabilir mi?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Atlet Ayağı (Tinea Pedis),"""Son yurtdışı seyahatimden sonra ayaklarım çılgınca kaşınmaya başladı. Ayak parmaklarımın arasındaki deri çatladı ve kızardı ve yayılıyor gibi görünüyor. Sanırım plajda ortak sandalet kullandım.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Saçkıran,"""Doktor, kolumda giderek büyüyen, kaşıntılı, kırmızı bir halka var. Pullu ve biraz engebeli ve kaşıdığımda çok tahriş oluyor.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Saçkıran,"""Asya seyahatimden döndüğümden beri kolumda kaşıntılı, halka şeklinde bir döküntü oluştu. Seyahatlerim sırasında kaptığım bir şey olabilir diye düşünüyorum.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Kontakt Dermatit,"""Ellerim kuru ve çatlamış, bazı yerlerdeki deri soyuluyor. İş yerinde çok fazla kimyasal ve yağ kullanıyorum, bunun sebebi bu olabilir mi?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Atlet Ayağı (Tinea Pedis),"Tinea Pedis olarak da bilinen Atlet Ayağı, çeşitli belirgin semptomlarla ortaya çıkar. Genellikle ayak parmakları arasında kaşıntı ve yanma hissiyle başlar. İlerledikçe cilt giderek daha fazla kızarır, pullu hale gelir ve soyulup çatlayabilir, bu da ağrıya ve rahatsızlığa yol açar. Bazı durumlarda, sıvı sızdıran ve genel rahatsızlığa katkıda bulunan kabarcıklar oluşabilir. Etkilenen bölge genellikle kötü bir koku sergiler ve tedavi edilmezse enfeksiyon ayağın diğer bölgelerine yayılabilir. Atlet Ayağı semptomlarının yoğunluğu değişir, ancak hızlı tedavi, uygun hijyen ve antifungal ilaçlar durumu etkili bir şekilde hafifletebilir.",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"""Koç, son zamanlarda antrenmandan sonra yüzümde çok fazla sivilce çıkıyor. Antrenman sırasında çok terliyorum ve bunun gözeneklerimi tıkadığını düşünüyorum. Performansımı etkileyebileceğinden endişeleniyorum ve hiçbir maçı kaçırmak istemiyorum. Bunu önlemek için yapabileceğim bir şey var mı?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Gül hastalığı,"""Yağlı bir cildim ve rosacea'm var, bu kafa karıştırıcı bir kombinasyon gibi görünüyor. Kırmızı lekeler ve şişlikler çıkıyor, ama aynı zamanda sivilcelerim ve aşırı parlamam da var. Hangi cilt bakım rutininin benim için doğru olduğundan emin değilim.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Folikülit,"Folikülit, saç köklerinin etrafında küçük kırmızı veya beyaz başlı sivilceler olarak kendini gösterir. Genellikle kafa derisi, yüz, göğüs, sırt veya kasıkta görülür ve kaşıntı, hassasiyet veya yanma hissine neden olabilir. Etkilenen bölgede irin dolu kabarcıklar veya kabuklanma görülebilir ve şiddetli vakalarda saç dökülmesine yol açabilir. Folikülit semptomları, hafif rahatsızlıktan yara izi bırakabilen ağrılı döküntülere kadar değişir. Genellikle bakteri veya mantar enfeksiyonlarından kaynaklanan bu durum, dar giysilerden kaynaklanan sürtünmeden veya yağ veya makyaj gibi maddelerden kaynaklanan cilt tahrişinden de kaynaklanabilir. Tıbbi yardım almak, nedeni belirlemeye ve uygun tedavileri seçmeye yardımcı olur.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"""Karnımda ve uyluklarımda sürekli olarak bu kaşıntılı şişlikler çıkıyor. Hızla gelip gidiyorlar ama beni çileden çıkarıyorlar! İlk hamileliğimde bunlar yoktu.""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"""Güneşe çıktığım anda cildim şişmeye ve kaşınmaya başlıyor. Yıllardır yazın tadını çıkaramıyorum! Yapabileceğim bir şey var mı?""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"""Cildim son zamanlarda sorun çıkarmaya başladı ve bunun hamileliğimle ilgili olup olmadığından emin değilim. Yüzümde daha önce olmayan kırmızı lekeler ve şişlikler var. Hamileyken ilaç kullanmaktan endişe ediyorum.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Egzama,"""Son zamanlarda egzama hastalığımın alevlendiğini fark ettim ve bunun stresle ilgili olabileceğini düşünüyorum. Şu anda çok şey yaşıyorum ve bu durum cildimi etkiliyor.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Gül hastalığı,"""Yoğun antrenmanlardan sonra, özellikle sıcak havalarda, yüzümün kızardığını ve kızardığını fark ettim. Sıcak ve karıncalanma hissi veriyor ve bunun performansımı etkileyebileceğinden endişeleniyorum.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Zona (Herpes Zoster),"""Doktor, sağ tarafımda, kaburgalarımın yakınında yanan bir döküntü var. Kırmızı ve kabarcıklı ve sanki biri sürekli cildime iğne batırıyormuş gibi hissediyorum. Ayrıca çok ağrıyor, özellikle dokunmaya çalıştığımda.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Gül hastalığı,"""Cildim her şeye karşı çok hassas ve temel cilt bakım ürünleri bile cildimi tahriş ediyor. Rosacea hastalığım var ama herhangi bir tedaviyi denemekten korkuyorum çünkü cildimi daha da kötüleştireceğinden endişeleniyorum.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"Rosacea genellikle çeşitli semptomlarla ortaya çıkar ve sıklıkla yüz derisini etkiler. Yaygın belirtiler arasında, çoğunlukla yüzün ortasında, genellikle güneş yanığı veya kızarıklığa benzeyen kalıcı kızarıklık bulunur. Küçük kan damarları, hassas veya ağrılı olabilen akne benzeri kırmızı, şişkin şişliklerle birlikte görünür hale gelebilir. Ek olarak, rosacea hastaları kuru, tahriş olmuş veya sulu gözler ve özellikle burunda rinofima olarak bilinen bir duruma yol açan ciltte kalınlaşma yaşayabilir. Alevlenmeler belirli yiyecekler, içecekler, stres veya çevresel faktörler tarafından tetiklenebilir. Hastalığın değişkenliği ve olası uzun vadeli etkileri nedeniyle, tanı ve kişiye özel tedavi için dermatolojik tavsiye almak çok önemlidir.",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"""Ellerim kuru ve çatlamış, bazı yerlerdeki deri soyuluyor. İş yerinde çok fazla kimyasal ve yağ kullanıyorum, bunun sebebi bu olabilir mi?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
İmpetigo hastalığı,"""Yeni doğan bebeğimin burnu ve kulağının yakınında minik kırmızı şişlikler var. Biraz çiğ görünüyorlar ve berrak bir sıvı sızdırıyorlar. İmpetigo olabilir mi?""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Akne,"""Şu anda işte çok fazla şey yapıyorum ve bunun yüzümde görülmeye başladığını düşünüyorum. Normalden daha fazla sivilce olduğunu fark ettim ve cildim yağlı ve iltihaplı hissediyor. Stresle başa çıkmak ve aynı zamanda cildimi iyileştirmek için yapabileceğim bir şey var mı?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Egzama,"""Çocuğumda tıpkı benim küçükken yaşadığım gibi egzama oluştu. Bunun onlar için daha da kötüleşeceğinden endişeleniyorum ve ona nasıl yardımcı olabileceğimi bilmek istiyorum.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Folikülit,"""Sırtımda ve göğsümde jilet darbeleri gibi hissedilen minik kırmızı şişlikler var. Özellikle terlediğimde çok kaşınıyor ve rahatsız oluyorum.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Sedef hastalığı,"""Aylardır kafa derim kaşınıyor ve pullanıyor. Hangi şampuanı kullanırsam kullanayım düzelmiyor. Son zamanlarda kulaklarıma ve boynuma yayılmaya başladı.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
İmpetigo hastalığı,"""Çocuğumun kreşi aradı ve impetigo olduğunu söyledi. Şimdi diğer çocuğumun da bu hastalığa yakalanmasından endişeleniyorum. Nelere dikkat etmeliyim?""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kontakt Dermatit,"""Doktor, ellerim bütün hafta boyunca kaşınıyor ve kızarıyor. Çatlamış ve şişmiş durumdalar ve sanki minik kabarcıklar oluşuyormuş gibi hissediyorum. Bunun iş yerinde dokunduğum bir şeyden kaynaklandığını düşünüyorum, belki de yeni temizlik ürünlerinden?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Atlet Ayağı (Tinea Pedis),"""Ayaklarım hassas ve ağrılı hissediyor, özellikle de parmak aralarım. Ve oradaki deri biraz renk değiştirmiş ve kalınlaşmış gibi görünüyor. Daha önce böyle bir şey yaşamamıştım.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Vitiligo,"""Son zamanlarda bacaklarımda, ayak bileklerimde ve dizlerimde soluk lekeler fark ettim. Antrenman rutinimi değiştirmedim ama bunun performansımı veya iyileşmemi etkileyebileceğinden endişeleniyorum. Farklı yapmam gereken bir şey var mı?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Kontakt Dermatit,"""Ellerim kuru ve çatlamış, bazı yerlerdeki deri soyuluyor. İş yerinde çok fazla kimyasal ve yağ kullanıyorum, bunun sebebi bu olabilir mi?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Vitiligo,"""Doktor, son zamanlarda cildimde beyaz lekelerin belirdiğini fark ettim. Çoğunlukla ellerimin ve kollarımın etrafındalar ve giderek büyüyorlar. Özellikle okulda kendimi çok bilinçli hissetmeme neden oluyor. Yapabileceğim bir şey var mı?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
İmpetigo hastalığı,"""Doktor, 4 yaşındaki çocuğumun ağzının ve burnunun etrafında kırmızı, ağrılı şişlikler var. Kabuklu ve sarımsı görünüyorlar ve sürekli kaşıyor. İmpetigo mu?""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Atlet Ayağı (Tinea Pedis),"""Ayaklarım beni öldürüyor! Kaşınıyor ve yanıyor, ayrıca ayak tabanlarındaki deri pullu ve kuru hissediliyor. Bu durum gerçekten de pratiğimi etkiliyor, artık ayaklarımı kaldıramıyorum bile.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"""Utanç verici ama ayaklarım berbat kokuyor! Ve haftalardır ayak parmaklarımın etrafı kaşınıyor ve kızarıyor. Bunun sadece ter olduğunu düşünmüştüm ama giderek kötüleşiyor.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"""Arkadaşlarım kurdeşenlerin egzersizden kaynaklanabileceğini söyledi ve dün spor salonunda gerçekten çok çalıştım. Şimdi boynumda ve kollarımda kocaman kabarıklıklar var. Endişelenmeli miyim?""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Sedef hastalığı,"""Sedef hastalığım tüm vücudumu kaplamış durumda ve çok kalın ve ağrılı. Sedef artriti yüzünden eklemlerimi artık zar zor hareket ettirebiliyorum. Kendimi umutsuz hissediyorum.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"""Sedef hastalığım genellikle yarışmalardan önce alevleniyor ve antrenman yapmayı ve performans göstermeyi zorlaştırıyor. Kollarımdaki lekeler kaşınıyor ve dikkat dağıtıyor.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Gül hastalığı,"""Yıllardır rosacea ile uğraşıyorum, ancak son zamanlarda daha da kötüye gidiyor gibi görünüyor. Kızarıklık daha belirgin ve burnumda kendimi bilinçli hissettiren genişlemiş kan damarlarım var. Kalıcı hasardan endişeleniyorum.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Egzama,"""Bebeğim durmadan cildini kaşıyor ve yer yer kırmızı ve engebeli. Bu onu geceleri uyutmuyor ve enfeksiyondan endişeleniyorum.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Uyuz,"""Doktor, bebeğim bütün gece çılgınca kaşınıyor, özellikle ellerini ve ayaklarını. Ciltleri bazı yerlerde kırmızı ve engebeli görünüyor ve kaşınmayı bırakamıyor gibi görünüyor!""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"""Son zamanlarda stresli hissediyorum ve kollarımda bu küçük, kırmızı şişlikleri fark ettim. Sürekli kaşıyorum ve bunun daha ciddi bir şeyin işareti olduğundan endişeleniyorum. Acaba hepsi kafamın içinde mi?""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
İmpetigo hastalığı,"""Anne, egzama lekelerim kötüleşiyor. Daha kırmızı ve kaşıntılılar ve bazıları kabarcıklanıp kabuk bağlamaya başladı. İmpetigo olabilir mi?""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"""Anneciğim, cildim kaşınıyor ve garip hissediyorum!"" (kollarındaki kırmızı, kabarık şişlikleri işaret ederek)",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Akne,"""Son zamanlarda gerçekten sağlıklı besleniyorum, ancak yüzümdeki bu inatçı sivilcelerden hâlâ kurtulamıyorum. Süt ürünlerinin veya şekerin sivilceleri kötüleştirebileceğini okudum, ancak benim için durumun böyle olduğunu düşünmüyorum. Başka ne buna sebep olabilir?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
